"title","score","release_date","platform"
"Blood Bowl 2: Legendary Edition",NA,"2017-09-05","ps4"
"Blood Bowl 2: Official Expansion",NA,"2017-09-05","ps4"
"Bloodborne",92,"2015-03-24","ps4"
"Bloodborne: Complete Edition",NA,"2015-11-24","ps4"
"Bloodborne: The Old Hunters",87,"2015-11-24","ps4"
"Bloodstained: Curse of the Moon",NA,"2018-05-24","ps4"
"Bloody Zombies",NA,"2017-09-12","ps4"
"Bloons TD 5",NA,"2017-05-09","ps4"
"Blue Angels Aerobatic Flight Simulator",NA,"2017-11-28","ps4"
"Blue Estate",49,"2014-06-24","ps4"
"Blue Reflection",66,"2017-09-26","ps4"
"Blue Rider",62,"2016-09-14","ps4"
"Blue-Collar Astronaut",NA,"2017-03-14","ps4"
"Blues and Bullets - Episode 1: The End of Peace",86,"2016-04-19","ps4"
"Blues and Bullets - Episode 2: Shaking The Hive",NA,"2016-04-19","ps4"
"Boggle",NA,"2015-08-04","ps4"
"Boiling Bolt",NA,"2017-12-05","ps4"
"Bokosuka Wars II",NA,"2017-10-17","ps4"
"Bombing Busters",NA,"2015-09-15","ps4"
"Borderlands: The Handsome Collection",82,"2015-03-24","ps4"
"Bounce Rescue!",56,"2016-04-05","ps4"
"Bound",71,"2016-08-16","ps4"
"Bound by Flame",53,"2014-05-06","ps4"
"Bravo Team",45,"2018-03-06","ps4"
"BRAWL",62,"2015-04-24","ps4"
"Breach & Clear: Deadline",NA,"2016-08-04","ps4"
"Brick Breaker",NA,"2016-04-26","ps4"
"Bridge Constructor",66,"2016-12-13","ps4"
"Bridge Constructor Portal",79,"2018-03-01","ps4"
"Bridge Constructor Stunts",NA,"2018-03-27","ps4"
"BRIKS",NA,"2017-06-01","ps4"
"BRIKS 2",NA,"2018-01-30","ps4"
"BROFORCE",68,"2016-03-01","ps4"
"Broken Age",81,"2015-04-28","ps4"
"Broken Bots",NA,"2016-06-07","ps4"
"Broken Sword 5: The Serpent's Curse",72,"2015-09-08","ps4"
"Brothers: A Tale of Two Sons",81,"2015-08-11","ps4"
"Brunswick Pro Bowling",NA,"2015-11-24","ps4"
"Brut@l",67,"2016-08-09","ps4"
"Bubsy: The Woolies Strike Back",45,"2017-10-31","ps4"
"Buff Knight Advanced",NA,"2016-05-03","ps4"
"BugsBox",NA,"2017-05-25","ps4"
"Bulb Boy",NA,"2018-03-01","ps4"
"Bulletstorm: Full Clip Edition",75,"2017-04-07","ps4"
"Bully",NA,"2016-03-22","ps4"
"Bunny Must Die: Chelsea and the 7 Devils",NA,"2018-04-03","ps4"
"Burly Men At Sea",NA,"2017-09-19","ps4"
"Burnout Paradise Remastered",82,"2018-03-16","ps4"
"Bush Hockey League",56,"2017-03-29","ps4"
"BUTCHER",71,"2017-05-09","ps4"
"Butter & Friends: Babysitter Sim",NA,"2017-09-12","ps4"
"Cabela's African Adventures",NA,"2015-03-17","ps4"
"Caladrius Blaze",NA,"2016-08-09","ps4"
"Call of Duty: Advanced Warfare",83,"2014-11-03","ps4"
"Call of Duty: Advanced Warfare - Ascendance",NA,"2015-04-30","ps4"
"Call of Duty: Advanced Warfare - Havoc",NA,"2015-02-26","ps4"
"Call of Duty: Black Ops 4",NA,"2018-10-12","ps4"
"Call of Duty: Black Ops III",81,"2015-11-06","ps4"
"Call of Duty: Black Ops III - Awakening",74,"2016-02-02","ps4"
"Call of Duty: Black Ops III - Der Eisendrache",NA,"2018-03-20","ps4"
"Call of Duty: Black Ops III - Descent",68,"2016-07-12","ps4"
"Call of Duty: Black Ops III - Eclipse",74,"2016-04-19","ps4"
"Call of Duty: Black Ops III - Gold Edition",NA,"2016-06-21","ps4"
"Call of Duty: Black Ops III - Gorod Krovi",NA,"2018-03-20","ps4"
"Call of Duty: Black Ops III - Revelations",NA,"2018-03-20","ps4"
"Call of Duty: Black Ops III - Salvation",74,"2016-09-06","ps4"
"Call of Duty: Black Ops III - The Giant",NA,"2015-11-06","ps4"
"Call of Duty: Black Ops III - Zetsubou no Shima",NA,"2018-03-20","ps4"
"Call of Duty: Black Ops III - Zombies Chronicles",78,"2017-05-16","ps4"
"Call of Duty: Ghosts",78,"2013-11-15","ps4"
"Call of Duty: Ghosts - Devastation",NA,"2014-04-03","ps4"
"Call of Duty: Ghosts - Gold Edition",NA,"2014-03-25","ps4"
"Call of Duty: Ghosts - Invasion",NA,"2014-07-03","ps4"
"Call of Duty: Ghosts - Onslaught",NA,"2014-01-28","ps4"
"Call of Duty: Infinite Warfare",77,"2016-11-04","ps4"
"Call of Duty: Infinite Warfare - Absolution",69,"2017-07-06","ps4"
"Call of Duty: Infinite Warfare - Continuum",75,"2017-04-18","ps4"
"Call of Duty: Infinite Warfare - Jackal Assault VR",NA,"2016-11-04","ps4"
"Call of Duty: Infinite Warfare - Legacy Pro Edition",NA,"2016-11-04","ps4"
"Call of Duty: Infinite Warfare - Retribution",NA,"2017-09-12","ps4"
"Call of Duty: Infinite Warfare - Sabotage",76,"2017-01-31","ps4"
"Call of Duty: Modern Warfare Remastered",83,"2016-11-04","ps4"
"Call of Duty: WWII",79,"2017-11-03","ps4"
"Call of Duty: WWII - The Resistance",71,"2018-01-30","ps4"
"Call of Duty: WWII - The War Machine",73,"2018-04-10","ps4"
"Calvino Noir",44,"2015-08-25","ps4"
"Candlelight",69,"2016-03-15","ps4"
"Cannon Brawl",NA,"2016-08-02","ps4"
"Capsule Force",NA,"2015-08-25","ps4"
"Carmageddon: Max Damage",51,"2016-07-05","ps4"
"Carnival Games VR",58,"2016-10-28","ps4"
"Carnival Games VR: Alley Adventure",NA,"2017-11-14","ps4"
"Cars 3: Driven to Win",71,"2017-06-13","ps4"
"Cartoon Network: Battle Crashers",21,"2016-11-08","ps4"
"Casey Powell Lacrosse 16",69,"2016-03-09","ps4"
"Casey Powell Lacrosse 18",NA,"2018-04-17","ps4"
"Cast of the Seven Godsends: Redux",NA,"2016-07-19","ps4"
"Castle Invasion: Throne Out",NA,"2016-09-28","ps4"
"Castles",NA,"2016-06-28","ps4"
"CastleStorm: Definitive Edition",74,"2014-09-23","ps4"
"CastleStorm: Virtual Reality",72,"2017-08-01","ps4"
"CAT Interstellar",NA,"2017-12-19","ps4"
"Cat Quest",74,"2017-11-14","ps4"
"Catlateral Damage",57,"2016-03-22","ps4"
"Caveman Warriors",57,"2017-09-22","ps4"
"Cavernous Wastes",NA,"2017-06-27","ps4"
"Cel Damage HD",58,"2014-04-22","ps4"
"Celeste",91,"2018-01-25","ps4"
"Chambara",71,"2016-07-26","ps4"
"Chaos Code: New Sign of Catastrophe",66,"2017-03-15","ps4"
"Chaos on Deponia",70,"2017-12-06","ps4"
"Chaos;Child",76,"2017-10-17","ps4"
"Chariot",76,"2014-09-30","ps4"
"Chess Ultra",NA,"2017-06-20","ps4"
"Chicken Assassin: Reloaded",NA,"2018-07-14","ps4"
"Child of Light",82,"2014-04-29","ps4"
"Children of Zodiarcs",81,"2017-07-18","ps4"
"Chime Sharp",76,"2017-02-21","ps4"
"Chivalry: Medieval Warfare",58,"2015-12-01","ps4"
"Chroma Squad",74,"2017-05-19","ps4"
"ChromaGun",74,"2017-08-22","ps4"
"Chronicles of Teddy: Harmony of Exidus",79,"2016-03-29","ps4"
"Circuit Breakers",54,"2017-07-25","ps4"
"Cities: Skylines - Natural Disasters",NA,"2018-05-15","ps4"
"Cities: Skylines - PlayStation 4 Edition",81,"2017-08-15","ps4"
"Cities: Skylines - Premium Edition",NA,"2017-11-21","ps4"
"Cities: Skylines - Snowfall",NA,"2017-11-21","ps4"
"Citizens of Earth",70,"2015-01-20","ps4"
"City of Brass",65,"2018-05-04","ps4"
"ClaDun Returns: This is Sengoku!",73,"2017-06-06","ps4"
"Claire: Extended Cut",NA,"2016-08-30","ps4"
"Clicker Heroes",NA,"2017-03-07","ps4"
"Clockwork Tales: Of Glass and Ink",NA,"2016-11-29","ps4"
"Clouds & Sheep 2",NA,"2017-02-21","ps4"
"Cluster Tumble",NA,"2018-04-30","ps4"
"ClusterTruck",NA,"2016-09-27","ps4"
"Cocos Sharks Island",NA,"2017-04-27","ps4"
"Code 51: Mecha Arena",NA,"2018-04-24","ps4"
"Code:Realize - Bouquet of Rainbows",NA,"2018-03-30","ps4"
"Coffin Dodgers",36,"2016-05-03","ps4"
"Cold Iron",71,"2018-01-30","ps4"
"Color Guardians",62,"2015-05-12","ps4"
"Color Zen",NA,"2016-08-12","ps4"
"Comet Crash 2: The Kronkoid Wars",72,"2017-08-08","ps4"
"Commander Cherry's Puzzled Journey",53,"2015-08-11","ps4"
"Conan Exiles",70,"2018-05-08","ps4"
"Conga Master",NA,"2017-07-21","ps4"
"Constructor",NA,"2017-07-28","ps4"
"Contrast",59,"2013-11-15","ps4"
"Coolpaintr VR",NA,"2018-05-08","ps4"
"Corridor Z",NA,"2016-05-03","ps4"
"Cosmic Star Heroine",76,"2017-04-11","ps4"
"Cosmophony",NA,"2015-05-05","ps4"
"Costume Quest 2",74,"2014-10-28","ps4"
"CounterSpy",67,"2014-08-19","ps4"
"Crash Bandicoot N. Sane Trilogy",80,"2017-06-30","ps4"
"Crash Bandicoot N. Sane Trilogy: Stormy Ascent",NA,"2017-07-20","ps4"
"Crawl",NA,"2017-04-11","ps4"
"Crazy Strike Bowling EX",48,"2016-05-25","ps4"
"Crimsonland",64,"2014-07-15","ps4"
"Crisis on the Planet of the Apes VR",49,"2018-04-03","ps4"
"Croixleur Sigma",71,"2016-01-19","ps4"
"Crossing Souls",75,"2018-02-13","ps4"
"Crossout",NA,"2017-05-30","ps4"
"Cruz Brothers",NA,"2018-03-13","ps4"
"Crypt of the NecroDancer",85,"2016-02-02","ps4"
"Crypt of the Serpent King",NA,"2018-02-27","ps4"
"Cryptark",75,"2017-06-27","ps4"
"Crystal Rift",37,"2016-11-29","ps4"
"CubeWorks",NA,"2018-02-13","ps4"
"Cubikolor",NA,"2016-05-20","ps4"
"Curses 'N Chaos",70,"2015-08-18","ps4"
"Cyberdimension Neptunia: 4 Goddesses Online",71,"2017-10-10","ps4"
"D/Generation HD",NA,"2016-03-15","ps4"
"Damascus Gear: Operation Osaka",NA,"2018-03-07","ps4"
"Damascus Gear: Operation Tokyo - HD Edition",NA,"2017-05-31","ps4"
"Dandara",NA,"2018-02-06","ps4"
"Danganronpa 1-2 Reload",83,"2017-03-14","ps4"
"Danganronpa Another Episode: Ultra Despair Girls",67,"2017-06-27","ps4"
"Danganronpa V3: Killing Harmony",81,"2017-09-26","ps4"
"Danger Zone",64,"2017-05-30","ps4"
"Dangerous Golf",56,"2016-06-03","ps4"
"Dangun Feveron",NA,"2018-04-04","ps4"
"Dariusburst: Chronicle Saviours",80,"2015-12-02","ps4"
"Dark Arcana: The Carnival",NA,"2017-06-27","ps4"
"Dark Cloud",NA,"2015-12-05","ps4"
"Dark Cloud 2",NA,"2016-01-19","ps4"
"Dark Mystery",NA,"2017-08-15","ps4"
"Dark Rose Valkyrie",58,"2017-06-06","ps4"
"Dark Rose Valkyrie: New Mission Addition Pack 1",NA,"2017-06-06","ps4"
"Dark Rose Valkyrie: New Mission Addition Pack 2",NA,"2017-06-06","ps4"
"Dark Rose Valkyrie: New Mission Addition Pack 3",NA,"2017-06-06","ps4"
"Dark Rose Valkyrie: New Mission Addition Pack 4",NA,"2017-06-06","ps4"
"Dark Souls II: Scholar of the First Sin",87,"2015-04-07","ps4"
"Dark Souls III",89,"2016-04-12","ps4"
"Dark Souls III: Ashes of Ariandel",71,"2016-10-25","ps4"
"Dark Souls III: The Fire Fades Edition",NA,"2017-04-21","ps4"
"Dark Souls III: The Ringed City",82,"2017-03-28","ps4"
"Dark Souls Remastered",NA,"2018-05-25","ps4"
"Darkest Dungeon",83,"2016-09-27","ps4"
"Darkest Dungeon: Ancestral Edition",NA,"2018-05-08","ps4"
"Darkest Dungeon: Crimson Edition",NA,"2017-08-22","ps4"
"Darkest Dungeon: The Crimson Court",NA,"2017-08-25","ps4"
"Darkest Dungeon: The Shieldbreaker",NA,"2017-12-15","ps4"
"Darknet",78,"2017-03-07","ps4"
"Darksiders II: Deathinitive Edition",72,"2015-10-30","ps4"
"Darksiders: Warmastered Edition",81,"2016-11-22","ps4"
"Day D Tower Rush",NA,"2017-07-11","ps4"
"Day of the Tentacle Remastered",84,"2016-03-22","ps4"
"Daydreamer: Awakened Edition",68,"2016-07-12","ps4"
"Daylight",48,"2014-04-29","ps4"
"DC Universe Online",75,"2013-11-15","ps4"
"DC Universe Online: War of the Light Part I",NA,"2014-01-28","ps4"
"De Blob",65,"2017-11-14","ps4"
"de Blob 2",68,"2018-02-27","ps4"
"De-formers",60,"2017-04-21","ps4"
"Dead Ahead: Zombie Warfare",NA,"2018-05-08","ps4"
"Dead Ahead: Zombie Warfare - Circus Pack",NA,"2018-05-15","ps4"
"Dead Alliance",48,"2017-08-29","ps4"
"Dead by Daylight",63,"2017-06-20","ps4"
"Dead by Daylight: Freddy Krueger",NA,"2017-11-09","ps4"
"Dead by Daylight: Halloween",NA,"2017-08-25","ps4"
"Dead by Daylight: Leatherface",NA,"2017-10-03","ps4"
"Dead by Daylight: The SAW Chapter",NA,"2018-01-23","ps4"
"Dead Effect 2",NA,"2017-01-17","ps4"
"Dead Island: Definitive Collection",63,"2016-05-31","ps4"
"Dead Island: Retro Revenge",65,"2016-05-31","ps4"
"Dead Island: Riptide - Definitive Edition",NA,"2016-05-31","ps4"
"Dead Land",NA,"2018-04-03","ps4"
"Dead Nation: Apocalypse Edition",74,"2014-03-04","ps4"
"Dead or Alive 5: Last Round",74,"2015-02-17","ps4"
"Dead or Alive Xtreme 3: Fortune",43,"2016-03-24","ps4"
"Dead Rising",78,"2016-09-13","ps4"
"Dead Rising 2",82,"2016-09-27","ps4"
"Dead Rising 2: Off the Record",NA,"2016-09-13","ps4"
"Dead Rising 4: Frank's Big Package",72,"2017-12-05","ps4"
"Dead Rising Triple Pack",71,"2016-09-13","ps4"
"Dead Secret",NA,"2018-04-24","ps4"
"Dead Star",70,"2016-04-05","ps4"
"Dead Synchronicity: Tomorrow Comes Today",69,"2016-10-04","ps4"
"DEADBOLT",NA,"2018-02-20","ps4"
"Deadcore",64,"2017-07-14","ps4"
"Deadlight: Director's Cut",70,"2016-06-21","ps4"
"Deadpool",60,"2015-11-17","ps4"
"Dear Esther: Landmark Edition",68,"2016-09-20","ps4"
"Death Road to Canada",80,"2018-05-08","ps4"
"Death Squared",72,"2017-03-14","ps4"
"Death's Gambit",NA,"2018-08-14","ps4"
"Deathstate",NA,"2017-04-25","ps4"
"Deception IV: The Nightmare Princess",69,"2015-07-14","ps4"
"Deep Ones",NA,"2018-04-11","ps4"
"Deer Hunter: Reloaded",NA,"2017-10-24","ps4"
"Deer Simulator",NA,"2017-03-31","ps4"
"Defender's Quest: Valley of the Forgotten DX Edition",80,"2018-05-24","ps4"
"Defenders of Ekron",NA,"2017-08-15","ps4"
"Defunct",NA,"2017-12-21","ps4"
"Deiland",NA,"2018-05-03","ps4"
"Deliriant",NA,"2017-05-23","ps4"
"Demetrios - The BIG Cynical Adventure",NA,"2017-08-01","ps4"
"Demon Gaze II",74,"2017-11-14","ps4"
"Demon's Crystals",61,"2017-05-12","ps4"
"Deponia",71,"2016-12-01","ps4"
"Derelict Fleet",NA,"2017-07-11","ps4"
"Destiny",76,"2014-09-09","ps4"
"Destiny 2",85,"2017-09-06","ps4"
"Destiny 2: Curse of Osiris",57,"2017-12-05","ps4"
"Destiny 2: Warmind",64,"2018-05-08","ps4"
"Destiny: House of Wolves",72,"2015-05-19","ps4"
"Destiny: Rise of Iron",72,"2016-09-20","ps4"
"Destiny: The Collection",NA,"2016-09-20","ps4"
"Destiny: The Dark Below",63,"2014-12-09","ps4"
"Destiny: The Taken King",86,"2015-09-15","ps4"
"Destiny: The Taken King - Legendary Edition",NA,"2015-09-15","ps4"
"Destroy All Humans!",NA,"2016-11-01","ps4"
"Destroy All Humans! 2",NA,"2016-11-29","ps4"
"Detention",84,"2017-10-03","ps4"
"Detroit: Become Human",NA,"2018-05-25","ps4"
"Deus Ex: Mankind Divided",84,"2016-08-23","ps4"
"Deus Ex: Mankind Divided - A Criminal Past",81,"2017-02-23","ps4"
"Deus Ex: Mankind Divided - System Rift",75,"2016-09-27","ps4"
"Devil May Cry 4: Special Edition",75,"2015-06-23","ps4"
"Devil May Cry HD Collection",60,"2018-03-13","ps4"
"Devious Dungeon",NA,"2018-04-24","ps4"
"Dex",67,"2016-07-12","ps4"
"DEXED",65,"2017-01-31","ps4"
"DG2: Defense Grid 2",77,"2014-09-23","ps4"
"Diablo III: Eternal Collection",NA,"2017-06-27","ps4"
"Diablo III: Rise of the Necromancer",NA,"2017-06-27","ps4"
"Diablo III: Ultimate Evil Edition",90,"2014-08-19","ps4"
"Dick Wilde",NA,"2017-05-16","ps4"
"Die for Valhalla!",NA,"2018-05-29","ps4"
"Digimon Story Cyber Sleuth",75,"2016-02-02","ps4"
"Digimon Story Cyber Sleuth: Hacker's Memory",73,"2018-01-19","ps4"
"Digimon World: Next Order",68,"2017-01-31","ps4"
"Digital Domain's Monkey King",NA,"2017-07-25","ps4"
"Dino Dini's Kick Off Revival",31,"2016-06-23","ps4"
"Dino Frontier",65,"2017-08-01","ps4"
"DiRT 4",85,"2017-06-06","ps4"
"DiRT Rally",85,"2016-04-05","ps4"
"DiRT Rally VR",NA,"2017-02-20","ps4"
"Disc Jam",72,"2017-03-07","ps4"
"Disco Dodgeball Remix",63,"2018-05-22","ps4"
"Discovery",NA,"2017-11-07","ps4"
"Discovery Tour by Assassin's Creed: Ancient Egypt",NA,"2018-02-20","ps4"
"Disgaea 1 Complete",NA,"2018-11-27","ps4"
"Disgaea 5: Alliance of Vengeance",80,"2015-10-06","ps4"
"Dishonored 2",88,"2016-11-10","ps4"
"Dishonored: Death of the Outsider",82,"2017-09-15","ps4"
"Dishonored: Definitive Edition",80,"2015-08-25","ps4"
"Disney Infinity 2.0 Edition",71,"2014-09-23","ps4"
"Disney Infinity 3.0 Edition",80,"2015-08-30","ps4"
"Disney Infinity: Marvel Super Heroes - Guardians of the Galaxy Playset",NA,"2014-09-23","ps4"
"Disney Infinity: Marvel Super Heroes - Ultimate Spider Man Playset",NA,"2014-09-23","ps4"
"Dissidia: Final Fantasy NT",67,"2018-01-30","ps4"
"Divekick: Addition Edition +",NA,"2014-10-07","ps4"
"Divide",50,"2017-01-31","ps4"
"Divinity: Original Sin Enhanced Edition",88,"2015-10-27","ps4"
"DJMax Respect",85,"2018-03-06","ps4"
"DmC: Devil May Cry Definitive Edition",83,"2015-03-10","ps4"
"Dogchild",71,"2016-01-11","ps4"
"Dogos",53,"2016-09-06","ps4"
"Doki-Doki Universe",71,"2013-12-10","ps4"
"Don Bradman Cricket",76,"2016-04-26","ps4"
"Don Bradman Cricket 17",NA,"2016-12-15","ps4"
"Don't Bite Me Bro!",NA,"2018-03-20","ps4"
"Don't Die, Mr. Robot!",71,"2016-03-08","ps4"
"Don't Knock Twice",56,"2017-09-05","ps4"
"Don't Starve Together: Console Edition",NA,"2016-09-13","ps4"
"Don't Starve: Console Edition",78,"2014-01-07","ps4"
"Don't Starve: Mega Pack",NA,"2018-04-17","ps4"
"Don't Starve: Reign of Giants",NA,"2014-07-22","ps4"
"Doodle Devil",NA,"2016-08-23","ps4"
"Doodle God",NA,"2016-07-05","ps4"
"Doodle Kingdom",NA,"2016-09-19","ps4"
"DOOM",85,"2016-05-13","ps4"
"DOOM VFR",72,"2017-12-01","ps4"
"DOOM: Bloodfall",NA,"2016-12-15","ps4"
"DOOM: Hell Followed",NA,"2016-10-26","ps4"
"DOOM: Unto The Evil",75,"2016-08-04","ps4"
"Double Dragon IV",49,"2017-01-30","ps4"
"Downwell",80,"2016-05-24","ps4"
"Dragon Age: Inquisition",89,"2014-11-18","ps4"
"Dragon Age: Inquisition - Game of the Year Edition",NA,"2015-10-06","ps4"
"Dragon Age: Inquisition - Jaws Of Hakkon",NA,"2015-05-26","ps4"
"Dragon Age: Inquisition - The Descent",63,"2015-08-11","ps4"
"Dragon Age: Inquisition - Trespasser",NA,"2015-09-09","ps4"
"Dragon Ball FighterZ",87,"2018-01-26","ps4"
"Dragon Ball FighterZ: Bardock",NA,"2018-03-28","ps4"
"Dragon Ball FighterZ: Broly",NA,"2018-03-28","ps4"
"Dragon Ball: Xenoverse",69,"2015-02-24","ps4"
"Dragon Ball: Xenoverse 2",72,"2016-10-25","ps4"
"Dragon Ball: Xenoverse 2 - DB Super Pack 3",NA,"2017-04-25","ps4"
"Dragon Ball: Xenoverse 2 - Extra Pack 2: Infinite History",NA,"2018-02-28","ps4"
"Dragon Fantasy: The Black Tome of Ice",NA,"2016-03-22","ps4"
"Dragon Fin Soup",NA,"2015-11-03","ps4"
"Dragon Quest Builders",83,"2016-10-11","ps4"
"Dragon Quest Heroes II",76,"2017-04-25","ps4"
"Dragon Quest Heroes: The World Tree's Woe and the Blight Below",77,"2015-10-13","ps4"
"Dragon Quest XI: Echoes of an Elusive Age",NA,"2018-09-04","ps4"
"Dragon Sinker",NA,"2018-02-06","ps4"
"Dragon's Crown Pro",81,"2018-05-15","ps4"
"Dragon's Dogma: Dark Arisen",78,"2017-10-03","ps4"
"Dragon's Lair Trilogy",NA,"2017-12-12","ps4"
"Dragooned",NA,"2018-04-17","ps4"
"Drawfighters",NA,"2017-08-01","ps4"
"Drawful 2",NA,"2016-06-21","ps4"
"Drawn to Death",56,"2017-04-04","ps4"
"Dreadnought",72,"2017-06-06","ps4"
"Dream Angling",NA,"2017-07-25","ps4"
"Dreamals",NA,"2015-11-17","ps4"
"Dreamals: Dream Quest",NA,"2016-06-21","ps4"
"Dreambreak",NA,"2017-09-12","ps4"
"Dreamfall Chapters",67,"2017-05-05","ps4"
"DreamWorks Voltron VR Chronicles",67,"2017-09-26","ps4"
"Dreii",75,"2016-03-09","ps4"
"Drive on Moscow",NA,"2018-04-20","ps4"
"Drive!Drive!Drive!",59,"2016-12-13","ps4"
"Driveclub",71,"2014-10-07","ps4"
"Driveclub Bikes",79,"2015-10-27","ps4"
"Driveclub VR",66,"2016-09-21","ps4"
"Drunkn Bar Fight",NA,"2018-02-13","ps4"
"DUCATI: 90th Anniversary",NA,"2016-06-09","ps4"
"Duck Dynasty",NA,"2014-10-14","ps4"
"Duck Game",NA,"2017-08-22","ps4"
"Duke Nukem 3D: 20th Anniversary World Tour",77,"2016-10-11","ps4"
"Dungeon Defenders II",NA,"2015-09-29","ps4"
"Dungeon Punks",NA,"2016-08-16","ps4"
"Dungeon Rushers",NA,"2018-05-25","ps4"
"Dungeons 2",61,"2016-05-24","ps4"
"Dungeons 3",NA,"2017-10-17","ps4"
"Dungeons 3: Evil of the Caribbean",NA,"2018-03-02","ps4"
"Dungeons 3: Lord of the Kings",NA,"2018-04-20","ps4"
"Dungeons 3: Once Upon a Time",NA,"2018-02-02","ps4"
"Dust: An Elysian Tail",79,"2014-10-07","ps4"
"Dustoff Heli Rescue 2",NA,"2017-12-19","ps4"
"Dusty Raging Fist",NA,"2018-04-12","ps4"
"DWVR",NA,"2017-09-26","ps4"
"Dying Light",74,"2015-01-27","ps4"
"Dying Light: Content Drop #0",NA,"2017-07-26","ps4"
"Dying Light: The Bozak Horde",NA,"2015-05-26","ps4"
"Dying Light: The Following",78,"2016-02-09","ps4"
"Dying Light: The Following - Enhanced Edition",86,"2016-02-09","ps4"
"Dying: Reborn",38,"2017-02-28","ps4"
"Dynamite Fishing: World Games",NA,"2015-09-30","ps4"
"Dynasty Feud",NA,"2017-12-12","ps4"
"Dynasty Warriors 8 Empires",63,"2015-02-24","ps4"
"Dynasty Warriors 8: Xtreme Legends Complete Edition",69,"2014-03-25","ps4"
"Dynasty Warriors 9",65,"2018-02-13","ps4"
"Dynasty Warriors: Godseekers",70,"2017-01-31","ps4"
"EA Sports UFC",70,"2014-06-17","ps4"
"EA Sports UFC 2",79,"2016-03-15","ps4"
"EA Sports UFC 3",75,"2018-01-30","ps4"
"Eagle Flight",73,"2016-11-08","ps4"
"Earth Atlantis",NA,"2018-06-01","ps4"
"Earth Defense Force 4.1: The Shadow of New Despair",64,"2015-12-08","ps4"
"Earth's Dawn",68,"2016-11-01","ps4"
"Earthfall",NA,"2018-07-13","ps4"
"Earthlock",NA,"2018-03-20","ps4"
"Earthlock: Festival of Magic",56,"2017-01-27","ps4"
"ECHO",79,"2017-10-10","ps4"
"Echoes of the Fey: The Fox's Trail",NA,"2017-07-11","ps4"
"Eekeemoo: Splinters of The Dark Shard",NA,"2017-03-14","ps4"
"Electronic Super Joy",NA,"2016-06-21","ps4"
"Electronic Super Joy: Hot Sticky Mess",NA,"2016-06-21","ps4"
"Elex",58,"2017-10-17","ps4"
"Eliosi's Hunt",NA,"2017-08-15","ps4"
"Elite: Dangerous",77,"2017-06-27","ps4"
"Elite: Dangerous - Commander: Deluxe Edition",NA,"2017-07-27","ps4"
"Elite: Dangerous - Legendary Edition",NA,"2017-06-27","ps4"
"Elliot Quest",NA,"2017-05-09","ps4"
"Embers of Mirrim",77,"2017-05-23","ps4"
"Emily Wants To Play",75,"2016-08-09","ps4"
"Emily Wants to Play Too",NA,"2018-04-24","ps4"
"End Space",NA,"2017-09-19","ps4"
"Ender of Fire",NA,"2015-06-23","ps4"
"Energy Balance",NA,"2017-06-02","ps4"
"Energy Cycle",NA,"2017-06-23","ps4"
"Energy Hook",22,"2016-07-05","ps4"
"Energy Invasion",NA,"2018-01-10","ps4"
"Enigmatis 2: The Mists of Ravenwood",NA,"2017-05-30","ps4"
"Enigmatis 3: The Shadow of Karkhala",NA,"2018-04-06","ps4"
"Enigmatis: The Ghosts of Maple Creek",NA,"2017-01-24","ps4"
"Enter the Gungeon",82,"2016-04-05","ps4"
"Entwined",59,"2014-06-09","ps4"
"Epic Dumpster Bear: Dumpster Fire Redux",NA,"2018-04-03","ps4"
"Escape Goat 2",NA,"2014-10-21","ps4"
"Escape Plan",73,"2013-12-03","ps4"
"Escape Plan: Director's Cut",NA,"2013-12-03","ps4"
"Escape Plan: The Asylum",NA,"2013-12-03","ps4"
