"title","score","release_date","platform"
"Astebreed",82,"2015-06-25","ps4"
"Atari Flashback Classics: Volume 1",70,"2016-10-13","ps4"
"Atari Flashback Classics: Volume 2",68,"2016-10-13","ps4"
"Atari Flashback Classics: Volume 3",NA,"2018-03-29","ps4"
"Atelier Firis: The Alchemist and the Mysterious Journey",74,"2017-03-07","ps4"
"Atelier Firis: The Alchemist and the Mysterious Journey - Shannon",NA,"2017-05-08","ps4"
"Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings",74,"2018-03-27","ps4"
"Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings - Great Adventures in New Worlds Vol. 1",NA,"2018-04-17","ps4"
"Atelier Sophie: The Alchemist of the Mysterious Book",75,"2016-06-07","ps4"
"Atom Universe",NA,"2015-04-14","ps4"
"Atomic Ghost Fleet",NA,"2017-04-07","ps4"
"Attack on Titan",74,"2016-08-30","ps4"
"Attack on Titan 2",75,"2018-03-20","ps4"
"Attacking Zegeta",NA,"2015-06-23","ps4"
"Attacking Zegeta 2",NA,"2016-11-18","ps4"
"Attractio",58,"2016-01-19","ps4"
"ATV Drift & Tricks",NA,"2017-11-14","ps4"
"ATV Renegades",NA,"2017-04-18","ps4"
"Audio Beats",NA,"2018-03-20","ps4"
"Aven Colony",73,"2017-07-25","ps4"
"Aven Colony: Cerulean Vale",NA,"2017-08-22","ps4"
"Awesomenauts Assemble!",74,"2014-03-04","ps4"
"Awesomenauts Assemble! Digital Collector's Edition",NA,"2015-12-03","ps4"
"Awesomenauts Assemble! Power Pack",NA,"2015-12-03","ps4"
"Awesomenauts Assemble! Ultimate Overdrive Pack",NA,"2016-09-07","ps4"
"Awesomenauts Assemble!: Starstorm",NA,"2015-12-03","ps4"
"Axiom Verge",84,"2015-03-31","ps4"
"Azkend 2: The World Beneath",NA,"2016-05-03","ps4"
"Azure Reflections",NA,"2018-05-15","ps4"
"Baboon!",NA,"2017-04-26","ps4"
"Back to Bed",62,"2015-08-25","ps4"
"Back to the Future: The Game",NA,"2015-10-13","ps4"
"Backgammon Blitz",NA,"2014-04-15","ps4"
"BADLAND: Game of the Year Edition",76,"2015-05-26","ps4"
"Baila Latino",NA,"2017-05-16","ps4"
"Baja: Edge of Control HD",65,"2017-09-14","ps4"
"Bandit Six: Combined Arms",NA,"2017-04-19","ps4"
"Bard's Gold",64,"2016-06-17","ps4"
"Baseball Riot",NA,"2016-01-19","ps4"
"Basement Crawl",27,"2014-02-25","ps4"
"Bastion",89,"2015-04-07","ps4"
"Batman: Arkham Knight",87,"2015-06-23","ps4"
"Batman: Arkham Knight - A Flip of a Coin",NA,"2015-11-24","ps4"
"Batman: Arkham Knight - A Matter of Family",61,"2015-07-14","ps4"
"Batman: Arkham Knight - Catwoman's Revenge",NA,"2015-11-24","ps4"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 1",NA,"2015-09-01","ps4"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 2",NA,"2015-09-29","ps4"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 3",NA,"2015-10-28","ps4"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 4",NA,"2015-11-24","ps4"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 5",NA,"2015-12-22","ps4"
"Batman: Arkham Knight - GCPD Lockdown",NA,"2015-09-29","ps4"
"Batman: Arkham Knight - Harley Quinn Story Pack",NA,"2015-08-04","ps4"
"Batman: Arkham Knight - Red Hood Story Pack",NA,"2015-08-04","ps4"
"Batman: Arkham Knight - Scarecrow Nightmare Missions",NA,"2015-06-23","ps4"
"Batman: Arkham Knight - Season of Infamy: Most Wanted",79,"2015-12-22","ps4"
"Batman: Arkham Knight - WayneTech Track Pack",NA,"2015-11-24","ps4"
"Batman: Arkham VR",74,"2016-10-11","ps4"
"Batman: Return to Arkham",73,"2016-10-18","ps4"
"Batman: The Enemy Within - Episode 1: The Enigma",70,"2017-08-08","ps4"
"Batman: The Enemy Within - Episode 2: The Pact",67,"2017-09-26","ps4"
"Batman: The Enemy Within - Episode 3: The Fractured Mask",70,"2017-11-21","ps4"
"Batman: The Enemy Within - Episode 4: What Ails You",77,"2018-01-22","ps4"
"Batman: The Enemy Within - Episode 5: Same Stitch",88,"2018-03-26","ps4"
"Batman: The Enemy Within - The Telltale Series",NA,"2017-10-03","ps4"
"Batman: The Telltale Series",68,"2016-09-13","ps4"
"Batman: The Telltale Series - Episode 1: Realm of Shadows",70,"2016-08-02","ps4"
"Batman: The Telltale Series - Episode 2: Children of Arkham",66,"2016-09-20","ps4"
